requirement_id,chapter_id,feature,detailed_behavior,classification,priority,evidence_paths,open_question_ids,route_id,react_route,react_files,component_ids,action_ids,parity_status,functional_status,persistence_status,permissions_status,performance_status,unit_test_ids,playwright_test_ids,selenium_test_ids,visual_test_ids,blocker_type,blocker_ids,blocker_reason,last_verified_sha,functional_fingerprint,notes
"CH01-F001","CH01","Acceso mediante ruta directa al módulo de pacientes","Un enlace externo apunta a /pacientes.php y el producto muestra la lista cuando existe sesión.","INFERRED","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0002_00h00m05s600ms_abrupt_change.jpg|references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/detail_crops/CH01-E0002_00h00m05s600ms_DETAIL.jpg","CH01-Q001","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-NAVIGATE|AUTH-LOGIN","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch01-direct-auth","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Ruta directa conserva next y exige sesión."
"CH01-F002","CH01","Listado de pacientes","Pantalla Pacientes con pestañas Activos, Inactivos y Carga masiva.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0009_00h00m56s200ms_abrupt_change.jpg","CH09-Q002|CH09-Q004","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-TAB-ACTIVE|PATIENT-TAB-INACTIVE|PATIENT-TAB-IMPORT|PATIENT-IMPORT","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch01-patient-tabs-import","SEL-CH01-IMPORT","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Carga CSV local validada, previsualizada, cancelable y persistida."
"CH01-F003","CH01","Columnas del catálogo de pacientes","Acción por fila, Documento, Nombre completo, Edad, Empresa, Triage, Notif. Botmaker y Estado.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0012_00h01m25s000ms_abrupt_change.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-DETAIL-NAVIGATE|PATIENT-BOTMAKER-CONSENT","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","vitest:age-from-birth-date","playwright:ch01-patient-video-columns","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Columnas administrativas del video, sin cálculo clínico de triage."
"CH01-F004","CH01","Búsqueda y paginación de pacientes","Campo de búsqueda, selector de registros y navegación Anterior/1/2/3/Siguiente.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0013_00h01m26s800ms_settled.jpg|references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/detail_crops/CH01-E0013_00h01m26s800ms_DETAIL.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-SEARCH|PATIENT-PAGE-SIZE|PATIENT-PAGINATE|PATIENT-PAGE-PREVIOUS|PATIENT-PAGE-NEXT","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch01-search-pagination","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Búsqueda normalizada y paginación local."
"CH01-F005","CH01","Exportar y crear paciente","Acciones Excel y + Nuevo disponibles en la cabecera.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0009_00h00m56s200ms_abrupt_change.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-EXPORT-XLSX|PATIENT-EXPORT-CSV|PATIENT-CREATE","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch01-xlsx-export","SEL-CH01-XLSX","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Workbook XLSX real, hoja Pacientes; CSV queda como acción secundaria."
"CH01-F006","CH01","Estados de carga y vacío de tabla","La tabla muestra Cargando... y No hay registros disponibles antes de presentar filas.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0011_00h01m24s600ms_abrupt_change.jpg","CH01-Q004","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:workspace-loading-empty-error","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Provider expone loading/error y el listado representa resultados vacíos sin inventar datos."
"CH01-F007","CH01","Indicadores de triage, notificación y estado","Cada fila muestra triage, controles de notificación y estado Activo.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0012_00h01m25s000ms_abrupt_change.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","PATIENT-BOTMAKER-CONSENT","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch01-triage-botmaker-status","SEL-CH01-BOTMAKER","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Consentimiento persistido; no se afirma envío de mensajes."
"CH01-F008","CH01","Menú lateral colapsable y jerárquico","Dashboard, Pacientes, Facturación, Clínica, Operaciones, Inventario, RRHH, Items y Maestros, con submódulos visibles.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0014_00h01m28s800ms_abrupt_change.jpg","CH01-Q005","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:workspace-sidebar-accordions","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Jerarquía enlaza sólo módulos operativos presentes."
"CH01-F009","CH01","Dashboard operativo","Seis tarjetas resumen pacientes con alertas, pacientes activos, tratamientos actualizados, tratamientos por finalizar, planes de cuidado e incidentes.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0018_00h01m31s400ms_abrupt_change.jpg","CH01-Q002","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch01-dashboard-six-metrics","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Primera cuadrícula contiene exactamente los seis indicadores observados."
"CH01-F010","CH01","Pacientes con valores fuera de rango","Sección con columnas Acciones, Paciente, FC, FR, Oxígeno, Sistólica, Diastólica, Temp, Dolor, Glicemia, Fecha y Recurso, y etiqueta Normales.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0019_00h01m32s000ms_stable_change.jpg","CH01-Q003","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch01-measurements-table","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Tabla no clasifica clínicamente sin una regla aprobada."
"CH01-F011","CH01","Menú de usuario y contexto organizacional","Menú con organización, Mi usuario y Cerrar Sesión.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0020_00h01m38s400ms_motion_progress.jpg|references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/detail_crops/CH01-E0020_00h01m38s400ms_DETAIL.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","USER-MENU-OPEN|USER-MENU-CLOSE|USER-PROFILE-OPEN","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch01-user-menu","SEL-CH01-USER-MENU","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Menú incluye organización, usuario, salida, click externo y Escape."
"CH01-F012","CH01","Cierre de sesión","Cerrar Sesión lleva directamente a la pantalla de login.","VISIBLE","P1","references/video-audit/chapters/CH01_contexto_inicial_acceso_dashboard_y_listado_de_pacientes/event_frames/CH01-E0022_00h01m41s800ms_abrupt_change.jpg","","ROUTE-PATIENTS","/patients","apps/web/src/app/(workspace)/patients/page.tsx|apps/web/src/lib/data-provider.ts","","AUTH-LOGOUT","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch01-logout","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","a5e9bd4c17a6831a16a8534615b2c600109a26420970288bf4d1f6753824979c","Cerrar sesión invalida la sesión local y vuelve a login."
